Archivo      Tiempo          
-----------------------------
002.html     00:00:00.0027197
003.html     00:00:00.0007831
004.html     00:00:00.0008097
005.html     00:00:00.0025550
006.html     00:00:00.0009730
007.html     00:00:00.0023001
008.html     00:00:00.0032291
009.html     00:00:00.0017951
010.html     00:00:00.0013300
011.html     00:00:00.0021623
012.html     00:00:00.0008417
013.html     00:00:00.0006114
014.html     00:00:00.0005824
015.html     00:00:00.0008519
016.html     00:00:00.0008204
017.html     00:00:00.0012874
018.html     00:00:00.0009679
019.html     00:00:00.0011883
020.html     00:00:00.0010642
021.html     00:00:00.0024379
022.html     00:00:00.0040734
023.html     00:00:00.0008153
024.html     00:00:00.0007257
025.html     00:00:00.0014306
026.html     00:00:00.0008840
027.html     00:00:00.0018702
028.html     00:00:00.0060622
029.html     00:00:00.0013005
030.html     00:00:00.0013937
031.html     00:00:00.0009619
032.html     00:00:00.0006158
033.html     00:00:00.0006522
034.html     00:00:00.0008734
035.html     00:00:00.0006218
036.html     00:00:00.0006404
037.html     00:00:00.0007696
038.html     00:00:00.0008371
039.html     00:00:00.0008173
040.html     00:00:00.0008723
041.html     00:00:00.0007851
042.html     00:00:00.0033527
043.html     00:00:00.0027509
044.html     00:00:00.0009907
045.html     00:00:00.0007247
046.html     00:00:00.0008546
047.html     00:00:00.0011591
048.html     00:00:00.0007095
049.html     00:00:00.0006454
050.html     00:00:00.0008748
051.html     00:00:00.0008245
052.html     00:00:00.0007457
053.html     00:00:00.0013133
054.html     00:00:00.0010637
055.html     00:00:00.0007921
056.html     00:00:00.0008563
057.html     00:00:00.0007074
058.html     00:00:00.0007245
059.html     00:00:00.0049600
060.html     00:00:00.0027759
061.html     00:00:00.0009032
062.html     00:00:00.0008624
063.html     00:00:00.0009251
064.html     00:00:00.0009368
065.html     00:00:00.0010945
066.html     00:00:00.0008844
067.html     00:00:00.0007814
068.html     00:00:00.0008593
069.html     00:00:00.0012087
070.html     00:00:00.0007884
071.html     00:00:00.0008414
072.html     00:00:00.0008408
073.html     00:00:00.0008459
074.html     00:00:00.0008386
075.html     00:00:00.0084908
076.html     00:00:00.0039044
077.html     00:00:00.0020614
078.html     00:00:00.0007799
079.html     00:00:00.0022018
080.html     00:00:00.0008883
081.html     00:00:00.0014334
082.html     00:00:00.0009298
083.html     00:00:00.0013811
084.html     00:00:00.0008419
085.html     00:00:00.0011208
086.html     00:00:00.0017206
087.html     00:00:00.0012187
088.html     00:00:00.0008533
089.html     00:00:00.0006882
090.html     00:00:00.0008837
091.html     00:00:00.0008133
092.html     00:00:00.0006911
093.html     00:00:00.0006181
094.html     00:00:00.0009741
095.html     00:00:00.0009685
096.html     00:00:00.0006130
097.html     00:00:00.0006605
098.html     00:00:00.0005849
099.html     00:00:00.0008212
100.html     00:00:00.0006614
101.html     00:00:00.0007357
102.html     00:00:00.0006919
103.html     00:00:00.0024196
104.html     00:00:00.0016914
105.html     00:00:00.0009981
