Archivo      Tiempo          
-----------------------------
002.html     00:00:00.0019677
003.html     00:00:00.0001800
004.html     00:00:00.0000993
005.html     00:00:00.0001722
006.html     00:00:00.0000833
007.html     00:00:00.0002175
008.html     00:00:00.0000873
009.html     00:00:00.0002972
010.html     00:00:00.0002295
011.html     00:00:00.0001428
012.html     00:00:00.0000894
013.html     00:00:00.0001057
014.html     00:00:00.0000770
015.html     00:00:00.0000821
016.html     00:00:00.0000949
017.html     00:00:00.0001009
018.html     00:00:00.0001009
019.html     00:00:00.0001936
020.html     00:00:00.0000826
021.html     00:00:00.0001193
022.html     00:00:00.0007905
023.html     00:00:00.0001862
024.html     00:00:00.0001197
025.html     00:00:00.0001285
026.html     00:00:00.0001180
027.html     00:00:00.0002960
028.html     00:00:00.0001327
029.html     00:00:00.0001788
030.html     00:00:00.0000983
031.html     00:00:00.0001026
032.html     00:00:00.0000913
033.html     00:00:00.0000986
034.html     00:00:00.0001302
035.html     00:00:00.0000874
036.html     00:00:00.0001568
037.html     00:00:00.0001689
038.html     00:00:00.0001081
039.html     00:00:00.0000849
040.html     00:00:00.0005670
041.html     00:00:00.0001491
042.html     00:00:00.0001168
043.html     00:00:00.0003825
044.html     00:00:00.0000950
045.html     00:00:00.0000718
046.html     00:00:00.0005361
047.html     00:00:00.0002148
048.html     00:00:00.0000995
049.html     00:00:00.0000951
050.html     00:00:00.0002024
051.html     00:00:00.0001144
052.html     00:00:00.0000893
053.html     00:00:00.0000754
054.html     00:00:00.0007424
055.html     00:00:00.0001205
056.html     00:00:00.0000752
057.html     00:00:00.0000735
058.html     00:00:00.0000778
059.html     00:00:00.0000894
060.html     00:00:00.0000839
061.html     00:00:00.0002793
062.html     00:00:00.0003673
063.html     00:00:00.0001306
064.html     00:00:00.0001118
065.html     00:00:00.0000844
066.html     00:00:00.0001075
067.html     00:00:00.0000884
068.html     00:00:00.0006197
069.html     00:00:00.0002507
070.html     00:00:00.0001233
071.html     00:00:00.0000868
072.html     00:00:00.0001042
073.html     00:00:00.0000836
074.html     00:00:00.0000942
075.html     00:00:00.0002420
076.html     00:00:00.0003908
077.html     00:00:00.0004575
078.html     00:00:00.0003915
079.html     00:00:00.0001845
080.html     00:00:00.0000934
081.html     00:00:00.0000774
082.html     00:00:00.0002122
083.html     00:00:00.0002019
084.html     00:00:00.0001011
085.html     00:00:00.0001396
086.html     00:00:00.0000965
087.html     00:00:00.0000826
088.html     00:00:00.0000800
089.html     00:00:00.0000778
090.html     00:00:00.0000713
091.html     00:00:00.0000892
092.html     00:00:00.0000872
093.html     00:00:00.0000911
094.html     00:00:00.0000789
095.html     00:00:00.0001200
096.html     00:00:00.0000872
097.html     00:00:00.0005258
098.html     00:00:00.0003213
099.html     00:00:00.0005466
100.html     00:00:00.0001380
101.html     00:00:00.0001303
102.html     00:00:00.0000942
103.html     00:00:00.0000885
104.html     00:00:00.0000789
105.html     00:00:00.0000976
106.html     00:00:00.0000832
107.html     00:00:00.0000786
108.html     00:00:00.0001104
109.html     00:00:00.0000868
110.html     00:00:00.0001459
111.html     00:00:00.0008661
112.html     00:00:00.0001584
113.html     00:00:00.0002316
114.html     00:00:00.0001553
115.html     00:00:00.0001119
