Archivo      Tiempo          
-----------------------------
002.html     00:00:00.0005379
003.html     00:00:00.0003668
004.html     00:00:00.0001427
005.html     00:00:00.0001491
006.html     00:00:00.0000802
007.html     00:00:00.0041091
008.html     00:00:00.0003023
009.html     00:00:00.0002196
010.html     00:00:00.0001097
011.html     00:00:00.0001723
012.html     00:00:00.0000864
013.html     00:00:00.0000858
014.html     00:00:00.0000737
015.html     00:00:00.0001033
016.html     00:00:00.0000962
017.html     00:00:00.0000791
018.html     00:00:00.0000825
019.html     00:00:00.0003842
020.html     00:00:00.0000836
021.html     00:00:00.0000938
022.html     00:00:00.0001813
023.html     00:00:00.0000818
024.html     00:00:00.0000765
025.html     00:00:00.0000887
026.html     00:00:00.0001279
027.html     00:00:00.0026785
028.html     00:00:00.0002850
029.html     00:00:00.0004103
030.html     00:00:00.0001088
031.html     00:00:00.0000908
032.html     00:00:00.0000784
033.html     00:00:00.0000952
034.html     00:00:00.0001376
035.html     00:00:00.0000739
036.html     00:00:00.0000912
037.html     00:00:00.0001979
038.html     00:00:00.0001208
039.html     00:00:00.0000831
040.html     00:00:00.0001643
041.html     00:00:00.0001046
042.html     00:00:00.0001315
043.html     00:00:00.0040195
044.html     00:00:00.0004694
045.html     00:00:00.0001097
046.html     00:00:00.0002014
047.html     00:00:00.0001429
048.html     00:00:00.0000785
049.html     00:00:00.0000868
050.html     00:00:00.0001416
051.html     00:00:00.0000921
052.html     00:00:00.0001091
053.html     00:00:00.0000804
054.html     00:00:00.0001040
055.html     00:00:00.0000878
056.html     00:00:00.0000714
057.html     00:00:00.0000824
058.html     00:00:00.0003162
059.html     00:00:00.0001006
060.html     00:00:00.0001037
061.html     00:00:00.0000817
062.html     00:00:00.0001154
063.html     00:00:00.0000879
064.html     00:00:00.0001403
065.html     00:00:00.0000810
066.html     00:00:00.0001955
067.html     00:00:00.0001043
068.html     00:00:00.0000917
069.html     00:00:00.0000794
070.html     00:00:00.0001001
071.html     00:00:00.0000997
072.html     00:00:00.0000769
073.html     00:00:00.0000765
074.html     00:00:00.0001226
075.html     00:00:00.0000964
076.html     00:00:00.0002941
077.html     00:00:00.0001056
078.html     00:00:00.0001046
079.html     00:00:00.0001167
080.html     00:00:00.0001158
081.html     00:00:00.0000791
082.html     00:00:00.0001936
083.html     00:00:00.0000869
084.html     00:00:00.0000767
085.html     00:00:00.0000916
086.html     00:00:00.0001095
087.html     00:00:00.0001072
088.html     00:00:00.0001139
089.html     00:00:00.0000922
090.html     00:00:00.0000727
091.html     00:00:00.0001239
092.html     00:00:00.0000815
093.html     00:00:00.0000736
094.html     00:00:00.0000736
095.html     00:00:00.0001150
096.html     00:00:00.0000893
097.html     00:00:00.0000894
098.html     00:00:00.0001031
099.html     00:00:00.0001148
100.html     00:00:00.0000773
101.html     00:00:00.0001870
102.html     00:00:00.0000759
103.html     00:00:00.0000869
104.html     00:00:00.0000841
105.html     00:00:00.0001222
106.html     00:00:00.0000983
107.html     00:00:00.0000762
108.html     00:00:00.0001069
109.html     00:00:00.0001030
110.html     00:00:00.0000758
111.html     00:00:00.0000695
112.html     00:00:00.0001028
113.html     00:00:00.0000786
114.html     00:00:00.0001002
115.html     00:00:00.0000954
116.html     00:00:00.0000830
117.html     00:00:00.0000838
118.html     00:00:00.0003022
119.html     00:00:00.0001836
120.html     00:00:00.0000851
121.html     00:00:00.0000882
122.html     00:00:00.0000943
123.html     00:00:00.0000864
124.html     00:00:00.0001318
125.html     00:00:00.0000919
126.html     00:00:00.0000954
127.html     00:00:00.0000723
128.html     00:00:00.0000796
129.html     00:00:00.0000954
130.html     00:00:00.0000749
131.html     00:00:00.0000938
132.html     00:00:00.0000790
133.html     00:00:00.0001236
134.html     00:00:00.0000755
135.html     00:00:00.0000772
136.html     00:00:00.0000991
137.html     00:00:00.0004596
138.html     00:00:00.0000946
139.html     00:00:00.0000993
140.html     00:00:00.0000749
141.html     00:00:00.0001329
142.html     00:00:00.0000882
143.html     00:00:00.0000854
144.html     00:00:00.0000874
145.html     00:00:00.0001074
146.html     00:00:00.0002227
147.html     00:00:00.0001673
148.html     00:00:00.0000758
149.html     00:00:00.0000791
150.html     00:00:00.0001393
151.html     00:00:00.0000759
152.html     00:00:00.0002488
153.html     00:00:00.0000764
154.html     00:00:00.0001580
155.html     00:00:00.0000926
156.html     00:00:00.0002679
157.html     00:00:00.0000922
158.html     00:00:00.0000850
159.html     00:00:00.0001825
160.html     00:00:00.0001407
161.html     00:00:00.0001761
162.html     00:00:00.0001050
163.html     00:00:00.0001136
164.html     00:00:00.0001231
165.html     00:00:00.0000892
166.html     00:00:00.0001697
167.html     00:00:00.0001068
168.html     00:00:00.0001013
169.html     00:00:00.0000818
170.html     00:00:00.0000788
171.html     00:00:00.0000776
172.html     00:00:00.0008230
173.html     00:00:00.0002957
174.html     00:00:00.0001608
175.html     00:00:00.0001010
176.html     00:00:00.0000938
177.html     00:00:00.0001102
178.html     00:00:00.0001103
179.html     00:00:00.0099313
180.html     00:00:00.0001408
181.html     00:00:00.0003693
182.html     00:00:00.0000945
183.html     00:00:00.0000944
184.html     00:00:00.0001137
185.html     00:00:00.0001016
186.html     00:00:00.0000735
187.html     00:00:00.0000897
188.html     00:00:00.0001025
189.html     00:00:00.0002293
190.html     00:00:00.0000979
191.html     00:00:00.0000793
192.html     00:00:00.0001078
193.html     00:00:00.0000957
194.html     00:00:00.0001065
195.html     00:00:00.0001133
196.html     00:00:00.0000904
197.html     00:00:00.0001539
198.html     00:00:00.0000985
199.html     00:00:00.0000988
200.html     00:00:00.0000788
201.html     00:00:00.0000789
202.html     00:00:00.0000965
203.html     00:00:00.0001089
204.html     00:00:00.0001096
205.html     00:00:00.0001501
206.html     00:00:00.0001095
207.html     00:00:00.0001280
208.html     00:00:00.0000994
209.html     00:00:00.0001018
210.html     00:00:00.0000814
211.html     00:00:00.0000984
212.html     00:00:00.0000971
213.html     00:00:00.0001047
214.html     00:00:00.0000855
215.html     00:00:00.0001276
216.html     00:00:00.0000914
217.html     00:00:00.0000754
218.html     00:00:00.0000829
219.html     00:00:00.0000936
220.html     00:00:00.0000888
221.html     00:00:00.0000977
222.html     00:00:00.0001791
223.html     00:00:00.0001915
224.html     00:00:00.0000992
225.html     00:00:00.0000928
226.html     00:00:00.0001212
227.html     00:00:00.0000793
228.html     00:00:00.0001006
229.html     00:00:00.0001013
230.html     00:00:00.0001473
231.html     00:00:00.0000826
232.html     00:00:00.0001239
233.html     00:00:00.0001946
234.html     00:00:00.0002878
235.html     00:00:00.0003571
236.html     00:00:00.0001965
237.html     00:00:00.0001323
238.html     00:00:00.0001346
239.html     00:00:00.0001463
240.html     00:00:00.0003329
241.html     00:00:00.0002478
242.html     00:00:00.0002506
243.html     00:00:00.0005831
244.html     00:00:00.0002499
245.html     00:00:00.0001365
246.html     00:00:00.0002150
247.html     00:00:00.0002483
248.html     00:00:00.0001432
249.html     00:00:00.0004612
250.html     00:00:00.0001926
251.html     00:00:00.0001577
